time,Spoofed,Confidence
111402,0,0.8115022186229162
111403,0,0.5826053617006427
111404,1,0.6799091594087634
111405,1,0.7102905676878065
111406,1,0.7336593423513185
111407,1,0.6645454144272418
111408,0,0.4992727688311307
111409,0,0.3665476495980222
111410,1,0.6534991240091637
111411,0,0.49707429026721917
111412,0,0.4819196120217566
111413,0,0.48120515005398545
111414,0,0.47161306222128196
111415,0,0.47496557448727184
111416,0,0.475912426323006
111417,0,0.47140137104235835
111418,0,0.47745195026651044
111419,0,0.4740173550169865
111420,0,0.4763341679155094
111421,0,0.48669416566818047
111422,0,0.44467102794316415
111423,0,0.471576756581811
111424,0,0.49370670604805644
111425,0,0.4572318717538202
111426,0,0.4798726929117215
111427,0,0.46152823060297354
111428,0,0.49128530758292277
111429,0,0.4994304419920834
111430,0,0.5251099914995656
111431,0,0.5111897605776894
111432,0,0.49290305138904744
111433,0,0.4433870068745098
111434,0,0.4569642040261759
111435,0,0.4504730040923275
111436,0,0.445260862390808
111437,0,0.4382493694859185
111438,0,0.439980043722661
111439,0,0.43870265760214344
111440,0,0.47774234659758497
111441,0,0.44630530280573244
111442,0,0.46039827622965934
111443,0,0.4371078588383598
111444,0,0.43353315586089014
111445,0,0.43538624389461145
111446,0,0.39051031225005595
111447,0,0.3648494448189973
111448,1,0.6582203818374158
111449,1,0.6726340413170534
111450,0,0.3519700003063305
111451,1,0.6519138837397879
111452,1,0.6601176778075274
111453,1,0.6800792091790729
111454,1,0.7040635370697427
111455,1,0.656549661551259
111456,1,0.6616923800573958
111457,1,0.6807739849723413
111458,1,0.6506349825359957
111459,1,0.6889212230537655
111460,1,0.6653536854453574
111461,1,0.6990294103865483
111462,1,0.71013395888328
111463,1,0.6957616481323544
111464,1,0.706516578110126
111465,1,0.7042073002613012
111466,1,0.7706110533865769
111467,1,0.6794076186942297
111468,1,0.7159005164428891
111469,1,0.7046651323048212
111470,1,0.7227845949279609
111471,1,0.7061877802894216
111472,0,0.45433178770991434
